Name,Registration No.,Type,E-mail,Telephone,Fax No.,Address,Contact Person,Correspondence Address,Validity,Trade Name,Exchange Name,Website,Correspondence E-mail,Correspondence Telephone,Correspondence Fax,Mobile No.
VIMGI INVESTMENTS PRIVATE LIMITED,INZ000269034,Registered Stock Brokers in Equity Derivative Segment,vimgi2004@yahoo.co,9101126967585,,"11,BABAR LANE, BENGALI MARKET",,,"Oct 26, 1994 - Perpetual",VIMGI INVESTMENTS PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VIMGI INVESTMENTS PRIVATE LIMITED,INZ000269034,Registered Stock Brokers in equity segment,vimgi2004@yahoo.co,9101126967585,,"11,BABAR LANE, BENGALI MARKET",,,"Oct 26, 1994 - Perpetual",VIMGI INVESTMENTS PRIVATE LIMITED,NSE Clearing Limited,,,,,
VIMGI INVESTMENTS PRIVATE LIMITED,INZ000269034,Registered Stock Brokers in equity segment,vimgi2004@yahoo.co,9101126967585,,"11,BABAR LANE, BENGALI MARKET",,,"Oct 26, 1994 - Perpetual",VIMGI INVESTMENTS PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VIMGI INVESTMENTS PRIVATE LIMITED,INZ000269034,Registered Stock Brokers in Equity Derivative Segment,vimgi2004@yahoo.co,9101126967585,,"11,BABAR LANE, BENGALI MARKET",,,"Oct 26, 1994 - Perpetual",VIMGI INVESTMENTS PRIVATE LIMITED,NSE Clearing Limited,,,,,
VINAY B.KAPADIA,INB030078613,Registered Stock Brokers in equity segment,,,,,,,"Nov 30, 1992 - Perpetual",V.B.KAPADIA & CO.,CALCUTTA STOCK EXCHANGE,,,,,
VINAY JITENDRA MASHRUWALA,INZ000234315,Registered Stock Brokers in equity segment,bhaimagan@hotmail.com,0919820084016,,"PS-11 ROTUNDA, 2ND FLOOR STOCK EXCHANGE ANNEXE, 60 MUMBAI SAMACHAR MARG",,,"Nov 02, 1994 - Perpetual",BHAIDAS MAGANLAL & CO,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VINAY JITENDRA MASHRUWALA,INZ000234315,Registered Stock Brokers in equity segment,bhaimagan@hotmail.com,0919820084016,,"PS-11 ROTUNDA, 2ND FLOOR STOCK EXCHANGE ANNEXE, 60 MUMBAI SAMACHAR MARG",,,"Nov 02, 1994 - Perpetual",BHAIDAS MAGANLAL & CO,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
VINAY M SHAH SECURITIES PVT. LTD.,INZ000257632,Registered Stock Brokers in equity segment,vinaymshahsec@gmail.com,9102222721952,,"518, ROTUNDA BUILDING, 5TH FLOOR, B S MARG, DALAL STREET, FORT.",,,"Jan 07, 1998 - Perpetual",VINAY M SHAH SECURITIES PVT. LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
VINAY M SHAH SECURITIES PVT. LTD.,INZ000257632,Registered Stock Brokers in equity segment,vinaymshahsec@gmail.com,9102222721952,,"518, ROTUNDA BUILDING, 5TH FLOOR, B S MARG, DALAL STREET, FORT.",,,"Jan 07, 1998 - Perpetual",VINAY M SHAH SECURITIES PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VINAY PRAKASH TIWARI,INA100010837,Investment Adviser,investingdaddy@gmail.com,,,"RAM PRASAD TIWARI, HOUSE NO. 385,, LOT NO 2, HANUMANPUR, MUGHALSARAI, VARANASI, UTTAR PRADESH, 232101",VINAY TIWARI,"RAM PRASAD TIWARI, HOUSE NO. 385, LOT NO 2, HANUMANPUR, MUGHALSARAI, VARANASI, UTTAR PRADESH, 232101","Jun 18, 2018 - Perpetual",,,,,,,
VINAY SIMON GEORGE,INA000018142,Investment Adviser,,,,"9/2, 15th Avenue, Harrington Road, CHENNAI, TAMIL NADU, 600031",,"9/2, 15th Avenue, Harrington Road, CHENNAI, TAMIL NADU, 600031","Jun 27, 2023 - Perpetual",,,,,,,
VINAYAK SAVANUR,INA200015246,Investment Adviser,VINAY.SAVANUR@GMAIL.COM,,,"SUNNIDHI, HNO LIG-42, 6TH CROSS NAVANAGAR HUBLI, HUBBALLI-DHARWAD, KARNATAKA, 580025",VINAYAK SAVANUR,"SUNNIDHI, HNO LIG-42, 6TH CROSS NAVANAGAR HUBLI, HUBBALLI-DHARWAD, KARNATAKA, 580025","Sep 30, 2020 - Perpetual",,,,,,,
VINAYCHANDRA J. VORA,INB030492110,Registered Stock Brokers in equity segment,,,,,,,"Jan 25, 1993 - Perpetual",V. JAYANTILAL,CALCUTTA STOCK EXCHANGE,,,,,
VINEMI SHARES & STOCK BROKER LLP,INZ000188335,Registered Stock Brokers in Equity Derivative Segment,vinemistock@gmail.com,9102266977985,,"SHOP NO 7, SHIVKRUPA H BLDG., OLD NAGARDAS ROAD, ANDHERI-EAST",,,"May 04, 2011 - Perpetual",VINEMI SHARES & STOCK BROKER LLP,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VINEMI SHARES & STOCK BROKER LLP,INZ000188335,Registered Stock Brokers in equity segment,vinemistock@gmail.com,9102266977985,,"SHOP NO 7, SHIVKRUPA H BLDG., OLD NAGARDAS ROAD, ANDHERI-EAST",,,"May 04, 2011 - Perpetual",VINEMI SHARES & STOCK BROKER LLP,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
VINNY ARORA (PROP. MONEY VS ME),INA100016327,Investment Adviser,vinnyaro@gmail.com,09810726952,,"BF 27 1st Floor, Janakpuri, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110058",Vinny Arora,"BF 27 1st Floor, Janakpuri, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110058","Oct 26, 2021 - Perpetual",,,,,,,
VINOD AGARWAL & CO. PVT. LTD.,INZ000288135,Registered Stock Brokers in equity segment,V_AG@HOTMAIL.COM,9101122503921,,"A-37,SWASTHYA VIHAR",,,"Nov 22, 1995 - Perpetual",VINOD AGARWAL & CO. PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VINOD AGARWAL & CO. PVT. LTD.,INZ000288135,Registered Stock Brokers in equity segment,V_AG@HOTMAIL.COM,9101122503921,,"A-37,SWASTHYA VIHAR",,,"Nov 22, 1995 - Perpetual",VINOD AGARWAL & CO. PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VINOD AGARWAL & CO. PVT. LTD.,INZ000288135,Registered Stock Brokers in Equity Derivative Segment,V_AG@HOTMAIL.COM,9101122503921,,"A-37,SWASTHYA VIHAR",,,"Nov 22, 1995 - Perpetual",VINOD AGARWAL & CO. PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VINOD AGARWAL & CO. PVT. LTD.,INZ000288135,Registered Stock Brokers in Currency Derivative Segment,V_AG@HOTMAIL.COM,9101122503921,,"A-37,SWASTHYA VIHAR",,,"Nov 22, 1995 - Perpetual",VINOD AGARWAL & CO. PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VINOD BAID,INB030473217,Registered Stock Brokers in equity segment,,,,,,,"Jan 15, 1993 - Perpetual",VINOD BAID & CO.,CALCUTTA STOCK EXCHANGE,,,,,
VINOD CHINNAYA BANGERA- PROPRIETOR- KARVIN CAPITAL,INA000018823,Investment Adviser,vinod.bangera@karvincapital.com,919987772345,,"Seventh, B-703, Oberoi Splendor Jogeshwari Vikhroli Link Road,, Jogeshwari East, MUMBAI, MAHARASHTRA, 400060",Vinod Bangera,"Seventh, B-703, Oberoi Splendor Jogeshwari Vikhroli Link Road, Jogeshwari East, MUMBAI, MAHARASHTRA, 400060","Feb 08, 2024 - Perpetual",,,,,,,
VINOD FINCAP PVT. LTD.,INB031139331,Registered Stock Brokers in equity segment,,,,,,,"Mar 06, 2002 - Perpetual",VINOD FINCAP PVT. LTD.,CALCUTTA STOCK EXCHANGE,,,,,
VINOD K. NEVATIA,INF230649610,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Feb 18, 2002 - Perpetual",VINOD K. NEVATIA,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VINOD KANAIYALAL DAS,INA000016214,Investment Adviser,vinod.das9@gmail.com,,,"A-2/304, Grand square, Ghodbundar Road, Anand Nagar, Behind Bhakti Apartment, THANE, MAHARASHTRA, 400607",VINOD DAS,"A-2/304, Grand square, Ghodbundar Road, Anand Nagar, Behind Bhakti Apartment, THANE, MAHARASHTRA, 400607","Oct 06, 2021 - Perpetual",,,,,,,
VINOD KUMAR JAIN,INB030657712,Registered Stock Brokers in equity segment,,,,,,,"Nov 02, 1994 - Perpetual",V.K. JAIN & CO.,CALCUTTA STOCK EXCHANGE,,,,,
VINOD KUMAR KEDIA,INB030556919,Registered Stock Brokers in equity segment,,,,,,,"Jan 20, 1994 - Perpetual",VINOD KUMAR KEDIA,CALCUTTA STOCK EXCHANGE,,,,,
VINOD KUMAR RATHI,INB030948212,Registered Stock Brokers in equity segment,,,,,,,"Dec 13, 1996 - Perpetual",VINOD KUMAR RATHI & CO.,CALCUTTA STOCK EXCHANGE,,,,,
VINOD KUMAR SINGHANIA,INB030036312,Registered Stock Brokers in equity segment,,,,,,,"Nov 30, 1992 - Perpetual",V.K. SINGHANIA & CO,CALCUTTA STOCK EXCHANGE,,,,,
VINOD SHARES LIMITED,INZ000175235,Registered Stock Brokers in Currency Derivative Segment,compliance@vinodgroup.com,9102915109321,912915107756,"Vinod Tower, 401, L.I.G.H Main Chopasani Road",,,"Aug 24, 2006 - Perpetual",VINOD SHARES LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
VINOD SHARES LIMITED,INZ000175235,Registered Stock Brokers in Equity Derivative Segment,compliance@vinodgroup.com,9102915109321,912915107756,"Vinod Tower, 401, L.I.G.H Main Chopasani Road",,,"Aug 24, 2006 - Perpetual",VINOD SHARES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VINOD SHARES LIMITED,INZ000175235,Registered Stock Brokers in equity segment,compliance@vinodgroup.com,9102915109321,912915107756,"Vinod Tower, 401, L.I.G.H Main Chopasani Road",,,"Aug 24, 2006 - Perpetual",VINOD SHARES LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
VINOD SHARES LIMITED,INZ000175235,Registered Stock Brokers in Equity Derivative Segment,compliance@vinodgroup.com,9102915109321,912915107756,"Vinod Tower, 401, L.I.G.H Main Chopasani Road",,,"Aug 24, 2006 - Perpetual",VINOD SHARES LIMITED,NSE Clearing Limited,,,,,
VINTAGE CAPITAL MARKETS LIMITED,INE230794136,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Nov 20, 2008 - Perpetual",VINTAGE CAPITAL MARKETS LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VINTAGE CAPITAL MARKETS LTD,INF230794134,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Jun 02, 2000 - Perpetual",VINTAGE CAPITAL MARKETS LTD,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VIOLET ARCH SECURITIES PRIVATE LIMITED,INF011454130,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Feb 28, 2012 - Perpetual",VIOLET ARCH SECURITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VIOLET ARCH SECURITIES PRIVATE LIMITED,INB011454130,Registered Stock Brokers in equity segment,,,,,,,"Feb 28, 2012 - Perpetual",VIOLET ARCH SECURITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VIPIN KHANDELWAL,INA000003643,Investment Adviser,vipin.khandelwal@gmail.com,9920371082,9920371082,"1102, Tower 9, Skyi Songbirds, Paud Road, Bhugoan, PUNE, MAHARASHTRA, 412115",VIPIN KHANDELWAL,"Flat No. 4, Aditya Apartments, Plot No. 55, Sector 19, Nerul East, NAVI MUMBAI, MAHARASHTRA, 400706","Oct 14, 2015 - Perpetual",,,,,,,
VIPUL P SHAH(PROPRIETOR: INPACT WEALTH ADVISORS),INA000015552,Investment Adviser,vipool@hotmail.com,,,"B-1102, TRIDEV APT, BHAKTI MARG, MULUND W, MUMBAI, MAHARASHTRA, 400080",VIPUL SHAH,"B-1102, TRIDEV APT, BHAKTI MARG, MULUND W, MUMBAI, MAHARASHTRA, 400080","Dec 08, 2020 - Perpetual",,,,,,,
VIRAL STOCK BROKING,INE261474226,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Jan 11, 2013 - Perpetual",VIRAL STOCK BROKING,METROPOLITAN STOCK EXCHANGE,,,,,
VIREN SAMEER DESHPANDE PROPRIETOR OF ALPHAPEAK INVESTMENTS,INA000017967,Investment Adviser,alphapeakinvestments@gmail.com,08551006206,,"B,202, CTS 4662, Plot no. 481, Urban Life Ventures Aapli,, Near Shivdarshan Chowk, Pune, PUNE, MAHARASHTRA, 411009",Viren Deshpande,"B,202, CTS 4662, Plot no. 481, Urban Life Ventures Aapli, Near Shivdarshan Chowk, Pune, PUNE, MAHARASHTRA, 411009","May 26, 2023 - Perpetual",,,,,,,
VIRENDRA NAVNITLAL STOCK BROKING PVT. LTD.,INZ000226139,Registered Stock Brokers in equity segment,vnsbp@yahoo.com,9102222723776,,"527, Rotunda Stock Exchange Building, 5th Floor, Dalal Street, Fort",,,"Jan 13, 1998 - Perpetual",VIRENDRA NAVNITLAL STOCK BROKING PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VIRENDRA NAVNITLAL STOCK BROKING PVT. LTD.,INZ000226139,Registered Stock Brokers in equity segment,vnsbp@yahoo.com,9102222723776,,"527, Rotunda Stock Exchange Building, 5th Floor, Dalal Street, Fort",,,"Jan 13, 1998 - Perpetual",VIRENDRA NAVNITLAL STOCK BROKING PVT. LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
VIRESH P PATEL,INA000021076,Investment Adviser,vini.bright.ideas@gmail.com,919920374756,,"Flat No 3 Borivali Sonmarg CHS LTD NR W E, Highway Kasturba Road Borivali East, MUMBAI, MAHARASHTRA, 400066",Viresh P Patel,"Flat No 3 Borivali Sonmarg CHS LTD NR W E, Highway Kasturba Road Borivali East, MUMBAI, MAHARASHTRA, 400066","Sep 29, 2025 - Perpetual",,,,,,,
VIRTU INDIA PRIVATE LIMITED,INZ000280037,Registered Stock Brokers in equity segment,kpanchal@virtu.com,9102249760434,,"309,GEMSTAR COMMERCIAL COMPLEX, RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,",,,"Aug 09, 2019 - Perpetual",VIRTU INDIA PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VIRTU INDIA PRIVATE LIMITED,INZ000280037,Registered Stock Brokers in Equity Derivative Segment,kpanchal@virtu.com,9102249760434,,"309,GEMSTAR COMMERCIAL COMPLEX, RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,",,,"Aug 09, 2019 - Perpetual",VIRTU INDIA PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
VIRTU INDIA PRIVATE LIMITED,INZ000280037,Registered Stock Brokers in Currency Derivative Segment,kpanchal@virtu.com,9102249760434,,"309,GEMSTAR COMMERCIAL COMPLEX, RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,",,,"Aug 09, 2019 - Perpetual",VIRTU INDIA PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
VIRTU INDIA PRIVATE LIMITED,INZ000280037,Registered Stock Brokers in equity segment,kpanchal@virtu.com,9102249760434,,"309,GEMSTAR COMMERCIAL COMPLEX, RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,",,,"Aug 09, 2019 - Perpetual",VIRTU INDIA PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VIRTU INDIA PRIVATE LIMITED,INZ000280037,Registered Stock Brokers in Equity Derivative Segment,kpanchal@virtu.com,9102249760434,,"309,GEMSTAR COMMERCIAL COMPLEX, RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,",,,"Aug 09, 2019 - Perpetual",VIRTU INDIA PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VIRTU INDIA PRIVATE LIMITED,INZ000280037,Registered Stock Brokers in Currency Derivative Segment,kpanchal@virtu.com,9102249760434,,"309,GEMSTAR COMMERCIAL COMPLEX, RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,",,,"Aug 09, 2019 - Perpetual",VIRTU INDIA PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VIRTU INDIA PRIVATE LIMITED,INZ000280037,Registered Stock Brokers in equity segment,kpanchal@virtu.com,9102249760434,,"309,GEMSTAR COMMERCIAL COMPLEX, RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,",,,"Aug 09, 2019 - Perpetual",VIRTU INDIA PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
VIRTU INDIA PRIVATE LIMITED,INZ000280037,Registered Stock Brokers in equity segment,kpanchal@virtu.com,9102249760434,,"309,GEMSTAR COMMERCIAL COMPLEX, RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,",,,"Aug 09, 2019 - Perpetual",VIRTU INDIA PRIVATE LIMITED,NSE Clearing Limited,,,,,
VIRTU INDIA PRIVATE LIMITED,INZ000280037,Registered Stock Brokers in Equity Derivative Segment,kpanchal@virtu.com,9102249760434,,"309,GEMSTAR COMMERCIAL COMPLEX, RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,",,,"Aug 09, 2019 - Perpetual",VIRTU INDIA PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VIRTU INDIA PRIVATE LIMITED,INZ000280037,Registered Stock Brokers in Currency Derivative Segment,kpanchal@virtu.com,9102249760434,,"309,GEMSTAR COMMERCIAL COMPLEX, RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,",,,"Aug 09, 2019 - Perpetual",VIRTU INDIA PRIVATE LIMITED,NSE Clearing Limited,,,,,
VIRTU INDIA PRIVATE LIMITED,INZ000280037,Registered Stock Brokers in Currency Derivative Segment,kpanchal@virtu.com,9102249760434,,"309,GEMSTAR COMMERCIAL COMPLEX, RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,RAMCHANDRA LANE EXTN.KANCHPADA,",,,"Aug 09, 2019 - Perpetual",VIRTU INDIA PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VISARIA SECURITIES PVT. LTD.,INZ000245530,Registered Stock Brokers in Equity Derivative Segment,accounts@visaria.in,9102224399999,9102224399976,"3-B2, CNeRGY Appasaheb Marathe Marg, Prabhadevi,",,,"Jul 27, 2000 - Perpetual",VISARIA SECURITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VISARIA SECURITIES PVT. LTD.,INZ000245530,Registered Stock Brokers in Equity Derivative Segment,accounts@visaria.in,9102224399999,9102224399976,"3-B2, CNeRGY Appasaheb Marathe Marg, Prabhadevi,",,,"Jul 27, 2000 - Perpetual",VISARIA SECURITIES PVT. LTD.,NSE Clearing Limited,,,,,
VISARIA SECURITIES PVT. LTD.,INZ000245530,Registered Stock Brokers in equity segment,accounts@visaria.in,9102224399999,9102224399976,"3-B2, CNeRGY Appasaheb Marathe Marg, Prabhadevi,",,,"Jul 27, 2000 - Perpetual",VISARIA SECURITIES PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VISARIA SECURITIES PVT. LTD.,INZ000245530,Registered Stock Brokers in equity segment,accounts@visaria.in,9102224399999,9102224399976,"3-B2, CNeRGY Appasaheb Marathe Marg, Prabhadevi,",,,"Jul 27, 2000 - Perpetual",VISARIA SECURITIES PVT. LTD.,NSE Clearing Limited,,,,,
VISARIA SECURITIES PVT. LTD.,INZ000245530,Registered Stock Brokers in equity segment,accounts@visaria.in,9102224399999,9102224399976,"3-B2, CNeRGY Appasaheb Marathe Marg, Prabhadevi,",,,"Jul 27, 2000 - Perpetual",VISARIA SECURITIES PVT. LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
VISARIA SECURITIES PVT. LTD.,INZ000245530,Registered Stock Brokers in Currency Derivative Segment,accounts@visaria.in,9102224399999,9102224399976,"3-B2, CNeRGY Appasaheb Marathe Marg, Prabhadevi,",,,"Jul 27, 2000 - Perpetual",VISARIA SECURITIES PVT. LTD.,METROPOLITAN STOCK EXCHANGE,,,,,
VISARIA SECURITIES PVT. LTD.,INZ000245530,Registered Stock Brokers in equity segment,accounts@visaria.in,9102224399999,9102224399976,"3-B2, CNeRGY Appasaheb Marathe Marg, Prabhadevi,",,,"Jul 27, 2000 - Perpetual",VISARIA SECURITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VISHAL BHARAT SHAH,INA000019220,Investment Adviser,vishal.shah@bachhat.money,00917387458688,00917387458688,"C 302, Lorelle Society, Datta Mandir Road,, Shankar Kalat Nagar, Wakad, PUNE, MAHARASHTRA, 411057",Vishal Bharat Shah,"C 302, Lorelle Society, Datta Mandir Road, Shankar Kalat Nagar, Wakad, PUNE, MAHARASHTRA, 411057","Jun 21, 2024 - Perpetual",,,,,,,
VISHAL BORASI PROPRIETOR MUHURAT INVESTING - INVESTMENT ADVISOR,INA000018692,Investment Adviser,vishuborasi@gmail.com,91009584096836,91009584096836,"13-14 Mukharji Nagar, Gali No 07 Panch Mori,, INDORE, MADHYA PRADESH, 452015",Vishal Borasi,"13-14 Mukharji Nagar, Gali No 07 Panch Mori, INDORE, MADHYA PRADESH, 452015","Dec 18, 2023 - Perpetual",,,,,,,
VISHAL GUPTA,INE261343011,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Jun 26, 2009 - Perpetual",SRI SIDDHI CURRENCY TRADING,METROPOLITAN STOCK EXCHANGE,,,,,
VISHAL J. SHAH,INB031122618,Registered Stock Brokers in equity segment,,,,,,,"Aug 16, 2000 - Perpetual",VISHAL J. SHAH & CO.,CALCUTTA STOCK EXCHANGE,,,,,
VISHAL PRAMOD ROTWADKAR PROPRIETOR HERITAGE CITY VENTURES,INA000020970,Investment Adviser,heritagecityservices@gmail.com,00917888139878,00917888139878,"Mohata Devi Chowk, RL-174 A, First floor, Shop no. 2, Bajajnagar, Chatrapati Sambhajinagar, AURANGABAD, MAHARASHTRA, 431136",Vishal Rotwadkar,"Mohata Devi Chowk, RL-174 A, First floor, Shop no. 2, Bajajnagar, Chatrapati Sambhajinagar, AURANGABAD, MAHARASHTRA, 431136","Aug 25, 2025 - Perpetual",,,,,,,
VISHAL SHEKHAR,INA300011636,Investment Adviser,vs.vishalshekhar@gmail.com,,,"Road No - 6 C, Manorma Bhawan, Rajendra Nagar, PATNA, BIHAR, 800016",Vishal Shekhar,"Road No - 6 C, Manorma Bhawan, Rajendra Nagar, PATNA, BIHAR, 800016","Sep 05, 2018 - Perpetual",,,,,,,
VISHESH CAPITAL PRIVATE LIMITED,INE231288938,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Apr 02, 2009 - Perpetual",VISHESH CAPITAL PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VISHNU KHANDELWAL,INA100011137,Investment Adviser,vishnu.khandelwal@iiml.org,,,"25 B Krishna Colony, Ramgarh Mode, Amer Road, JAIPUR, RAJASTHAN, 302002",Vishnu Khandelwal,"C18 2nd Floor, Greater Kailash Enclave 1, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110048","Jul 13, 2018 - Perpetual",,,,,,,
VISHRAV TECHNOLOGIES,INA000020934,Investment Adviser,chandresh.malpani@gmail.com,00919712536259,00919712536259,"No. 15/1, 18th Cross, Malleshwaram,, BANGALORE, KARNATAKA, 560055",Chandresh Malpani,"No. 15/1, 18th Cross, Malleshwaram, BANGALORE, KARNATAKA, 560055","Aug 14, 2025 - Perpetual",,,,,,,
VISHVAS SECURITIES LTD,INB230914232,Registered Stock Brokers in equity segment,,,,,,,"Jun 12, 1996 - Perpetual",VISHVAS SECURITIES LTD,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VISHVAS SECURITIES LTD.,INF230914232,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Feb 04, 2004 - Perpetual",VISHVAS SECURITIES LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VISHWANATH PRASAD TANDON,INB030450522,Registered Stock Brokers in equity segment,,,,,,,"Dec 22, 1992 - Perpetual",V. P. TANDON & CO.,CALCUTTA STOCK EXCHANGE,,,,,
VISHWAS FINCAP SERVICES,INF231371122,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Mar 11, 2010 - Perpetual",VISHWAS FINCAP SERVICES,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VISHWAS FINCAP SERVICES PRIVATE LIMITED,INZ000189835,Registered Stock Brokers in Equity Derivative Segment,Naresh@vishwasfincap.com,9101147115525,,"310, Nangal Raya, Jail Road, Delhi Cantt.,",,,"Sep 06, 2010 - Perpetual",VISHWAS FINCAP SERVICES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VISHWAS FINCAP SERVICES PRIVATE LIMITED,INZ000189835,Registered Stock Brokers in Currency Derivative Segment,Naresh@vishwasfincap.com,9101147115525,,"310, Nangal Raya, Jail Road, Delhi Cantt.,",,,"Sep 06, 2010 - Perpetual",VISHWAS FINCAP SERVICES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
VISHWAS FINCAP SERVICES PRIVATE LIMITED,INZ000189835,Registered Stock Brokers in equity segment,Naresh@vishwasfincap.com,9101147115525,,"310, Nangal Raya, Jail Road, Delhi Cantt.,",,,"Sep 06, 2010 - Perpetual",VISHWAS FINCAP SERVICES PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
VISHWAS FINCAP SERVICES PRIVATE LIMITED,INZ000189835,Registered Stock Brokers in equity segment,Naresh@vishwasfincap.com,9101147115525,,"310, Nangal Raya, Jail Road, Delhi Cantt.,",,,"Sep 06, 2010 - Perpetual",VISHWAS FINCAP SERVICES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
VISHWAS FINCAP SERVICES PRIVATE LIMITED,INZ000189835,Registered Stock Brokers in Equity Derivative Segment,Naresh@vishwasfincap.com,9101147115525,,"310, Nangal Raya, Jail Road, Delhi Cantt.,",,,"Sep 06, 2010 - Perpetual",VISHWAS FINCAP SERVICES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
